id	group	phylogeny	timeline
#methods	no	no	no
#descriptions	group	phylogeny	timeline
RPKM_0A_1	A	HLUCCA01	0
RPKM_0A_10	B	HL-49	0
RPKM_0A_16	C	OSCR	0
RPKM_0A_18	D	HLUCCO18	0
RPKM_0A_29	E	HL-53	0
RPKM_14A_1	A	HLUCCA01	2
RPKM_14A_10	B	HL-49	2
RPKM_14A_16	C	OSCR	2
RPKM_14A_18	D	HLUCCO18	2
RPKM_14A_29	E	HL-53	2
RPKM_1_1	A	HLUCCA01	1
RPKM_1A_10	B	HL-49	1
RPKM_1A_16	C	OSCR	1
RPKM_1A_18	D	HLUCCO18	1
RPKM_1A_29	E	HL-53	1
